"","game.id","outcome","abbrvs","conference","name","pts","rank"
"312",156,"w","BAY","Big 12","Baylor",48,26
"313",157,"l","MIA-O","Mid-American","Miami OH",12,26
"314",157,"w","BST","Mountain West","Boise State",39,26
"315",158,"l","WYO","Mountain West","Wyoming",22,26
"316",158,"w","CAL-P","FCS","Cal Poly",24,26
"317",159,"l","FIU","Sun Belt","Florida International",20,26
"318",159,"w","UCF","Conference USA","Central Florida",33,26
"319",160,"l","DELST","FCS","Delaware State",7,26
"320",160,"w","CIN","Big East","Cincinnati",23,26
"321",161,"l","FUR","FCS","Furman",7,26
"322",161,"w","CLEM","Atlantic Coast","Clemson",41,11
"323",162,"l","MARY","Atlantic Coast","Maryland",21,26
"324",162,"w","UCONN","Big East","Connecticut",24,26
"325",163,"l","NCC","FCS","North Carolina Central",17,26
"326",163,"w","DUKE","Atlantic Coast","Duke",54,26
"327",164,"l","SO MISS","Conference USA","Southern Mississippi",14,26
"328",164,"w","ECU","Conference USA","East Carolina",24,26
"329",165,"l","TEN","Southeastern","Tennessee",20,23
"330",165,"w","UF","Southeastern","Florida",37,18
"331",166,"l","WAKE","Atlantic Coast","Wake Forest",0,26
"332",166,"w","FSU","Atlantic Coast","Florida State",52,5
"333",167,"l","COL","Pac-12","Colorado",14,26
"334",167,"w","FRES","Mountain West","Fresno State",69,26
"335",168,"l","FAU","Sun Belt","Florida Atlantic",20,26
"336",168,"w","UGA","Southeastern","Georgia",56,7
"337",169,"l","UVA","Atlantic Coast","Virginia",20,26
"338",169,"w","GT","Atlantic Coast","Georgia Tech",56,26
"339",170,"l","LAMAR","FCS","Lamar",2,26
"340",170,"w","HAW","Mountain West","Hawaii",54,26
"341",171,"l","CHSOU","FCS","Charleston Southern",0,26
"342",171,"w","IL","Big Ten","Illinois",44,26
"343",172,"l","UNI","FCS","Northern Iowa",16,26
"344",172,"w","IOWA","Big Ten","Iowa",27,26
"345",173,"l","W ILLN","FCS","Western Illinois",3,26
"346",173,"w","ISU","Big 12","Iowa State",37,26
"347",174,"l","NTEX","Sun Belt","North Texas",21,26
"348",174,"w","KSU","Big 12","Kansas State",35,15
"349",175,"l","ID","Western Athletic","Idaho",14,26
"350",175,"w","LSU","Southeastern","Louisiana State",63,3
"351",176,"l","RICE","Conference USA","Rice",37,26
"352",176,"w","LTU","Western Athletic","Louisiana Tech",56,26
"353",177,"l","UNC","Atlantic Coast","North Carolina",34,26
"354",177,"w","LOU","Big East","Louisville",39,19
"355",178,"l","BETHCK","FCS","Bethune-Cookman",10,26
"356",178,"w","MIA","Atlantic Coast","Miami FL",38,26
"357",179,"l","UMASS","Mid-American","Massachusetts",13,26
"358",179,"w","MICH","Big Ten","Michigan",63,17
"359",180,"l","MEM","Conference USA","Memphis",30,26
"360",180,"w","MTSU","Sun Belt","Middle Tennessee State",48,26
"361",181,"l","WMU","Mid-American","Western Michigan",23,26
"362",181,"w","MINN","Big Ten","Minnesota",28,26
"363",182,"l","TROY","Sun Belt","Troy",24,26
"364",182,"w","MISS ST","Southeastern","Mississippi State",30,26
"365",183,"l","ASU","Pac-12","Arizona State",20,26
"366",183,"w","MIZZ","Southeastern","Missouri",24,26
"367",184,"l","ARKST","Sun Belt","Arkansas State",13,26
"368",184,"w","NEB","Big Ten","Nebraska",42,26
"369",185,"l","NWST","FCS","Northwestern State",34,26
"370",185,"w","NEV","Mountain West","Nevada",45,26
"371",186,"l","SOBAMA","Sun Belt","South Alabama",7,26
"372",186,"w","NCST","Atlantic Coast","North Carolina State",31,26
"373",187,"l","ARMY","Independent","Army",40,26
"374",187,"w","NIU","Mid-American","Northern Illinois",41,26
"375",188,"l","BC","Atlantic Coast","Boston College",13,26
"376",188,"w","NU","Big Ten","Northwestern",22,26
"377",189,"l","MSU","Big Ten","Michigan State",3,10
"378",189,"w","ND","Independent","Notre Dame",20,20
"379",190,"l","MAR ","Conference USA","Marshall",24,26
"380",190,"w","OHIO","Mid-American","Ohio",27,26
"381",191,"l","CAL","Pac-12","California",28,26
"382",191,"w","OSU","Big Ten","Ohio State",35,12
"383",192,"l","LA-L","Sun Belt","Louisiana-Lafayette",24,26
"384",192,"w","OKST","Big 12","Oklahoma State",65,26
"385",193,"l","TENN TECH","FCS","Tennessee Tech",14,26
"386",193,"w","ORE","Pac-12","Oregon",63,4
"387",194,"l","NAVY","Independent","Navy",7,26
"388",194,"w","PENN","Big Ten","Penn State",34,26
"389",195,"l","VT","Atlantic Coast","Virginia Tech",17,13
"390",195,"w","PITT","Big East","Pittsburgh",35,26
"391",196,"l","EMU","Mid-American","Eastern Michigan",16,26
"392",196,"w","PUR","Big Ten","Purdue",54,26
"393",197,"l","NDK","FCS","North Dakota",41,26
"394",197,"w","SDSU","Mountain West","San Diego State",49,26
"395",198,"l","COLS","Mountain West","Colorado State",20,26
"396",198,"w","SJSU","Western Athletic","San Jose State",40,26
"397",199,"l","UAB","Conference USA","Alabama-Birmingham",6,26
"398",199,"w","SC","Southeastern","South Carolina",49,8
"399",200,"l","USC","Pac-12","Southern California",14,2
"400",200,"w","STAN","Pac-12","Stanford",21,21
"401",201,"l","STBRK","FCS","Stony Brook",17,26
"402",201,"w","SYR","Big East","Syracuse",28,26
"403",202,"l","OLE","Southeastern","Mississippi",31,26
"404",202,"w","TEX","Big 12","Texas",66,14
"405",203,"l","SMU","Conference USA","Southern Methodist",3,26
"406",203,"w","TAMU","Southeastern","Texas A&M",48,26
"407",204,"l","KU","Big 12","Kansas",6,26
"408",204,"w","TCU","Big 12","Texas Christian",20,16
"409",205,"l","NM","Mountain West","New Mexico",14,26
"410",205,"w","TTU","Big 12","Texas Tech",49,26
"411",206,"l","NMSU","Western Athletic","New Mexico State",28,26
"412",206,"w","UT-EP","Conference USA","Texas-El Paso",41,26
"413",207,"l","GEORST","FCS","Georgia State",14,26
"414",207,"w","UTSA","Western Athletic","Texas-San Antonio",38,26
"415",208,"l","BG","Mid-American","Bowling Green State",15,26
"416",208,"w","TOL","Mid-American","Toledo",27,26
"417",209,"l","NICHST","FCS","Nicholls State",16,26
"418",209,"w","TULSA","Conference USA","Tulsa",66,26
"419",210,"l","HOU","Conference USA","Houston",6,26
"420",210,"w","UCLA","Pac-12","UCLA",37,22
"421",211,"l","BYU","Independent","Brigham Young",21,25
"422",211,"w","UTAH","Pac-12","Utah",24,26
"423",212,"l","PRESB","FCS","Presbyterian",0,26
"424",212,"w","VAN","Southeastern","Vanderbilt",58,26
"425",213,"l","PORTST","FCS","Portland State",13,26
"426",213,"w","WASH","Pac-12","Washington",52,26
"427",214,"l","JAMES","FCS","James Madison",12,26
"428",214,"w","WV","Big 12","West Virginia",42,9
"429",215,"l","UK","Southeastern","Kentucky",31,26
"430",215,"w","WKU","Sun Belt","Western Kentucky",32,26
"431",216,"l","UTST","Western Athletic","Utah State",14,26
"432",216,"w","WIS","Big Ten","Wisconsin",16,26
"433",217,"l","BUF","Mid-American","Buffalo",7,26
"434",217,"w","KENT","Mid-American","Kent State",23,26
"435",218,"l","BYU","Independent","Brigham Young",6,26
"436",218,"w","BST","Mountain West","Boise State",7,24
"437",219,"l","LA-M","Sun Belt","Louisiana-Monroe",42,26
"438",219,"w","BAY","Big 12","Baylor",47,26
"439",220,"l","FAU","Sun Belt","Florida Atlantic",7,26
"440",220,"w","BAMA","Southeastern","Alabama",40,1
"441",221,"l","UTAH","Pac-12","Utah",7,26
"442",221,"w","ASU","Pac-12","Arizona State",37,26
