"","week","w.rank","winner","w.pts","location","l.rank","loser","l.pts"
"349","6","Unranked","Iowa State","37","@","15","Texas Christian","23"
"350","6","7","Kansas State","56","","Unranked","Kansas","16"
"351","6","Unranked","Kent State","41","@","Unranked","Eastern Michigan","14"
"352","6","Unranked","Louisiana Tech","58","","Unranked","Nevada-Las Vegas","31"
"353","6","Unranked","Louisiana-Lafayette","41","","Unranked","Tulane","13"
"354","6","Unranked","Louisiana-Monroe","31","@","Unranked","Middle Tennessee State","17"
"355","6","Unranked","Maryland","19","","Unranked","Wake Forest","14"
"356","6","Unranked","Memphis","14","","Unranked","Rice","10"
"357","6","Unranked","Michigan","44","@","Unranked","Purdue","13"
"358","6","Unranked","Michigan State","31","@","Unranked","Indiana","27"
"359","6","20","Mississippi State","27","@","Unranked","Kentucky","14"
"360","6","Unranked","Navy","28","@","Unranked","Air Force","21"
"361","6","Unranked","Nevada","35","","Unranked","Wyoming","28"
"362","6","Unranked","New Mexico","35","","Unranked","Texas State","14"
"363","6","Unranked","North Carolina","48","","Unranked","Virginia Tech","34"
"364","6","Unranked","North Carolina State","17","","3","Florida State","16"
"365","6","Unranked","Northern Illinois","35","@","Unranked","Ball State","23"
"366","6","9","Notre Dame","41","","Unranked","Miami FL","3"
"367","6","Unranked","Ohio","38","","Unranked","Buffalo","31"
"368","6","12","Ohio State","63","","21","Nebraska","38"
"369","6","17","Oklahoma","41","@","Unranked","Texas Tech","20"
"370","6","2","Oregon","52","","23","Washington","21"
"371","6","14","Oregon State","19","","Unranked","Washington State","6"
"372","6","Unranked","Penn State","39","","24","Northwestern","28"
"373","6","22","Rutgers","19","","Unranked","Connecticut","3"
"374","6","Unranked","San Diego State","52","","Unranked","Hawaii","14"
"375","6","6","South Carolina","35","","5","Georgia","7"
"376","6","Unranked","Southern Methodist","17","@","Unranked","Texas-El Paso","0"
"377","6","18","Stanford","54","","Unranked","Arizona","48"
"378","6","Unranked","Temple","37","","Unranked","South Florida","28"
"379","6","Unranked","Texas A&M","30","@","Unranked","Mississippi","27"
"380","6","Unranked","Toledo","50","","Unranked","Central Michigan","35"
"381","6","Unranked","Tulsa","45","@","Unranked","Marshall","38"
"382","6","Unranked","Vanderbilt","19","@","Unranked","Missouri","15"
"383","6","8","West Virginia","48","@","11","Texas","45"
"384","6","Unranked","Western Michigan","52","","Unranked","Massachusetts","14"
"385","6","Unranked","Wisconsin","31","","Unranked","Illinois","14"
"386","7","Unranked","Arizona State","51","@","Unranked","Colorado","17"
"387","7","Unranked","Tulsa","33","","Unranked","Texas-El Paso","11"
"388","7","Unranked","Western Kentucky","31","@","Unranked","Troy","26"
"389","7","Unranked","Navy","31","@","Unranked","Central Michigan","13"
"390","7","Unranked","Air Force","28","@","Unranked","Wyoming","27"
"391","7","1","Alabama","42","@","Unranked","Missouri","10"
"392","7","Unranked","Arkansas","49","","Unranked","Kentucky","7"
"393","7","Unranked","Arkansas State","36","","Unranked","South Alabama","29"
"394","7","Unranked","Ball State","30","","Unranked","Western Michigan","24"
