"","game.id","week","w.id","w.conference","w.name","w.abbrvs","w.rank","w.pts","location","l.pts","l.rank","l.abbrvs","l.name","l.conference","l.id"
"289",224,4,28,"Mid-American","Central Michigan","CMU",26,32,"@",31,26,"IOWA","Iowa","Big Ten",69
"797",225,4,35,"Pac-12","Colorado","COL",26,35,"@",34,26,"WSU","Washington State","Pac-12",194
"386",226,4,39,"Atlantic Coast","Duke","DUKE",26,38,"",14,26,"MEM","Memphis","Conference USA",90
"330",227,4,46,"Southeastern","Florida","UF",14,38,"",0,26,"UK","Kentucky","Southeastern",77
"142",228,4,50,"Atlantic Coast","Florida State","FSU",4,49,"",37,10,"CLEM","Clemson","Atlantic Coast",33
"757",229,4,55,"Southeastern","Georgia","UGA",5,48,"",3,26,"VAN","Vanderbilt","Southeastern",186
"538",230,4,75,"Big 12","Kansas State","KSU",15,24,"@",19,6,"OU","Oklahoma","Big 12",128
"70",231,4,80,"Southeastern","Louisiana State","LSU",2,12,"@",10,26,"AUB","Auburn","Southeastern",13
"272",232,4,81,"Western Athletic","Louisiana Tech","LTU",26,52,"@",24,26,"IL","Illinois","Big Ten",65
"211",233,4,84,"Big East","Louisville","LOU",20,28,"@",21,26,"FIU","Florida International","Sun Belt",49
"571",234,4,86,"Conference USA","Marshall","MAR ",26,54,"@",51,26,"RICE","Rice","Conference USA",138
"236",235,4,91,"Atlantic Coast","Miami FL","MIA",26,42,"@",36,26,"GT","Georgia Tech","Atlantic Coast",58
"376",236,4,92,"Mid-American","Miami OH","MIA-O",26,27,"",16,26,"UMASS","Massachusetts","Mid-American",88
"188",237,4,94,"Big Ten","Michigan State","MSU",21,23,"",7,26,"EMU","Eastern Michigan","Mid-American",43
"657",238,4,96,"Big Ten","Minnesota","MINN",26,17,"",10,26,"SYR","Syracuse","Big East",164
"731",239,4,97,"Southeastern","Mississippi","OLE",26,39,"",0,26,"TULA","Tulane","Conference USA",181
"602",240,4,98,"Southeastern","Mississippi State","MISS ST",23,30,"",10,26,"SOBAMA","South Alabama","Sun Belt",147
"770",241,4,103,"Independent","Navy","NAVY",26,41,"",3,26,"VMI","Virginia Military Institute","FCS",189
"269",242,4,104,"Big Ten","Nebraska","NEB",25,73,"",7,26,"IDST","Idaho State","FCS",64
"243",243,4,105,"Mountain West","Nevada","NEV",26,69,"@",24,26,"HAW","Hawaii","Mountain West",60
"2",244,4,106,"Mountain West","Nevada-Las Vegas","UNLV",26,38,"",35,26,"AF","Air Force","Mountain West",1
